symbol,entry_date,entry_price,quantity,investment,additional_capital_needed,cash_after_entry,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl,return_pct
HCLTECH,2022-01-25,1115.0,896,999040.0,0,1843239.553107284,1046.2393454382047,1203.5606545617954,2022-03-11,1203.5606545617954,take_profit,79350.34648736872,7.942659601954749
DABUR,2022-01-25,544.1,1469,799282.9,0,2122346.9995946526,520.9267114446393,576.307946266433,2022-03-07,520.9267114446393,stop_loss,-34041.56088782491,-4.259012783561979
ZOMATO,2022-01-25,90.95,2,181.9,0,2887406.438706828,78.82966027839512,110.1305095824073,2022-02-15,78.82966027839512,stop_loss,-24.240679443209757,-13.326376824194478
MUTHOOTFIN,2022-02-15,1375.0,727,999625.0,0,1887939.0980273844,1269.5465838637222,1483.6801242044169,2022-04-25,1269.5465838637222,stop_loss,-76664.63353107398,-7.66933935536566
INDUSTOWER,2022-02-25,213.0,208,44304.0,0,2766595.4644963103,178.46616612874257,228.02706709700595,2022-07-15,228.02706709700595,take_profit,3125.6299561772385,7.05496107840655
BRITANNIA,2022-03-08,3115.0,245,763175.0,0,2050850.0944524878,2915.764880784815,3343.5980953721473,2022-03-17,3343.5980953721473,take_profit,56006.533366176096,7.338622644370702
GODREJCP,2022-03-08,665.0,3,1995.0,0,2868036.6278186636,616.6630595666692,760.7738808666618,2022-03-17,760.7738808666618,take_profit,287.32164259998535,14.402087348370193
INFY,2022-04-19,1636.65,611,999993.15,0,1870325.7994612637,1548.0199406777444,1768.1601186445114,2022-05-02,1548.0199406777444,stop_loss,-54152.9662458982,-5.415333719625799
HCLTECH,2022-04-20,1075.0,837,899775.0,0,1916390.9832153656,1013.2732694428888,1127.2267305571113,2022-04-22,1127.2267305571113,take_profit,43713.77347630216,4.858300516940586
TECHM,2022-04-26,1253.4,797,998959.8,0,1860919.9566916677,1183.7493691721052,1340.151051379825,2022-05-04,1183.7493691721052,stop_loss,-55511.552769832255,-5.556935601395797
ZYDUSLIFE,2022-04-26,343.1,2528,867356.8,0,1937011.4039218354,314.5548053849846,367.74519461501535,2022-05-23,367.74519461501535,take_profit,62303.05198675875,7.183093737981733
ZOMATO,2022-05-05,65.75,15209,999991.75,0,1866679.505908594,57.27901775583674,75.2064733662449,2022-05-09,57.27901775583674,stop_loss,-128835.16895147902,-12.883623185039179
APOLLOHOSP,2022-05-05,4042.0,220,889240.0,0,1848596.0869571147,3598.566162857026,4510.9806045715695,2022-05-12,3598.566162857026,stop_loss,-97555.44417145428,-10.970654060934537
DABUR,2022-05-10,505.8,1723,871493.4,0,1768787.2427856605,465.1804858357756,551.7934169970692,2022-07-07,551.7934169970692,take_profit,79246.65748595029,9.093202253275846
APOLLOHOSP,2022-05-13,3601.9,219,788816.1,0,1930711.2002716106,3215.2451252299006,4019.575849724119,2022-07-12,4019.575849724119,take_profit,91471.01108958205,11.595986832619424
TITAN,2022-05-13,2056.15,1,2056.15,0,2808942.161361193,1947.2272548800408,2251.1954902399193,2022-05-30,2251.1954902399193,take_profit,195.04549023991922,9.485956289177308
COALINDIA,2022-05-13,139.0,5,695.0,0,2810498.356851433,116.5064628744289,159.50224455068533,2022-05-31,159.50224455068533,take_profit,102.51122275342667,14.749816223514628
BANKBARODA,2022-05-13,90.4,1,90.4,0,2811205.4680741862,81.92107465476347,101.50785069047303,2022-07-11,101.50785069047303,take_profit,11.107850690473029,12.287445454063084
PNB,2022-05-13,29.45,1,29.45,0,2811277.5259248763,26.752871648056303,32.2942567038874,2022-07-28,32.2942567038874,take_profit,2.8442567038873996,9.657917500466553
TECHM,2022-05-26,1042.0,892,929464.0,0,1881845.8201815803,961.0910710746488,1150.5815482089188,2022-05-31,1150.5815482089188,take_profit,96854.74100235554,10.420494069953817
MUTHOOTFIN,2022-06-07,1070.0,934,999380.0,0,1908784.561183936,997.3075018542636,1200.7887472186046,2022-06-17,997.3075018542636,stop_loss,-67894.7932681178,-6.793691415489383
COLPAL,2022-06-08,1510.0,19,28690.0,0,2811579.767915818,1459.5646670062413,1635.4706659875176,2022-08-29,1635.4706659875176,take_profit,2383.942653762834,8.309315628312424
BAJAJFINSV,2022-06-15,1140.0,1,1140.0,0,2841513.7105695806,1067.458968664671,1266.032062670659,2022-07-21,1266.032062670659,take_profit,126.03206267065889,11.055444093917446
APOLLOTYRE,2022-06-17,176.45,2,352.9,0,2842426.8426322513,165.19469516055264,198.21060967889468,2022-07-07,198.21060967889468,take_profit,43.52121935778939,12.332450937316349
